"No.","Time","Source","Destination","Protocol","Length","Info"
"5522","49.220930","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1976816 Ack=1971358 Win=131328 Len=0"
"5523","49.223753","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1976816 Ack=1971358 Win=131328 Len=1460"
"5524","49.223753","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1978276 Ack=1971358 Win=131328 Len=1460"
"5525","49.223753","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=1979736 Ack=1971358 Win=131328 Len=176"
"5526","49.228641","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1971358 Ack=1979736 Win=65536 Len=0"
"5527","49.238585","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1971358 Ack=1979912 Win=65280 Len=1460"
"5528","49.238585","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1972818 Ack=1979912 Win=65280 Len=1460"
"5529","49.238585","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1974278 Ack=1979912 Win=65280 Len=162"
"5530","49.238703","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1979912 Ack=1974440 Win=131328 Len=0"
"5531","49.241429","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1979912 Ack=1974440 Win=131328 Len=1460"
"5532","49.241429","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1981372 Ack=1974440 Win=131328 Len=1460"
"5533","49.241429","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=1982832 Ack=1974440 Win=131328 Len=176"
"5534","49.246072","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1974440 Ack=1982832 Win=65536 Len=0"
"5537","49.350704","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1974440 Ack=1983008 Win=65280 Len=1460"
"5538","49.350704","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1975900 Ack=1983008 Win=65280 Len=1460"
"5539","49.350704","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1977360 Ack=1983008 Win=65280 Len=162"
"5540","49.350817","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1983008 Ack=1977522 Win=131328 Len=0"
"5541","49.353264","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1983008 Ack=1977522 Win=131328 Len=1460"
"5542","49.353264","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1984468 Ack=1977522 Win=131328 Len=1460"
"5543","49.353264","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=1985928 Ack=1977522 Win=131328 Len=176"
"5544","49.361644","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1977522 Ack=1985928 Win=65536 Len=0"
"5545","49.377745","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1977522 Ack=1986104 Win=65280 Len=1460"
"5546","49.377890","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1978982 Ack=1986104 Win=65280 Len=1460"
"5547","49.377890","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1980442 Ack=1986104 Win=65280 Len=162"
"5548","49.377945","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1986104 Ack=1980604 Win=131328 Len=0"
"5549","49.380387","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1986104 Ack=1980604 Win=131328 Len=1460"
"5550","49.380387","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1987564 Ack=1980604 Win=131328 Len=1460"
"5551","49.380387","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=1989024 Ack=1980604 Win=131328 Len=176"
"5552","49.385939","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1980604 Ack=1989200 Win=65536 Len=0"
"5553","49.402637","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1980604 Ack=1989200 Win=65536 Len=1460"
"5554","49.402637","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1982064 Ack=1989200 Win=65536 Len=1460"
"5555","49.402637","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1983524 Ack=1989200 Win=65536 Len=162"
"5556","49.402760","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1989200 Ack=1983686 Win=131328 Len=0"
"5557","49.405201","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1989200 Ack=1983686 Win=131328 Len=1460"
"5558","49.405201","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1990660 Ack=1983686 Win=131328 Len=1460"
"5559","49.405201","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=1992120 Ack=1983686 Win=131328 Len=176"
"5560","49.409072","192.168.43.165","192.168.43.159","TCP","54","5001  >  56914 [ACK] Seq=1983686 Ack=1992120 Win=65536 Len=0"
"5561","49.447445","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1983686 Ack=1992296 Win=65280 Len=1460"
"5562","49.447445","192.168.43.165","192.168.43.159","TCP","1514","5001  >  56914 [ACK] Seq=1985146 Ack=1992296 Win=65280 Len=1460"
"5563","49.447445","192.168.43.165","192.168.43.159","TCP","216","5001  >  56914 [PSH, ACK] Seq=1986606 Ack=1992296 Win=65280 Len=162"
"5564","49.447542","192.168.43.159","192.168.43.165","TCP","54","56914  >  5001 [ACK] Seq=1992296 Ack=1986768 Win=131328 Len=0"
"5565","49.449966","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1992296 Ack=1986768 Win=131328 Len=1460"
"5566","49.449966","192.168.43.159","192.168.43.165","TCP","1514","56914  >  5001 [ACK] Seq=1993756 Ack=1986768 Win=131328 Len=1460"
"5567","49.449966","192.168.43.159","192.168.43.165","TCP","230","56914  >  5001 [PSH, ACK] Seq=1995216 Ack=1986768 Win=131328 Len=176"
